predicted,day
15260.241,1
15257.519,2
15255.884,3
15254.519,4
15253.345,5
15252.3545,6
15251.499,7
15250.733,8
15250.0205,9
15249.328,10
15248.642,11
15247.948,12
15247.243,13
15246.527,14
15245.804,15
15245.081,16
15244.361,17
15243.654,18
15242.966,19
15242.3,20
15241.662,21
15241.054,22
15240.481,23
15239.945,24
15239.443,25
15238.978,26
15238.549,27
15238.151,28
15237.787,29
15237.452,30
15237.1455,31
15236.866,32
15236.613,33
15236.386,34
15236.181,35
15235.997,36
15235.834,37
15235.6875,38
15235.558,39
15235.443,40
15235.342,41
15235.253,42
15235.174,43
15235.1045,44
15235.044,45
15234.989,46
15234.943,47
15234.901,48
15234.866,49
15234.835,50
15234.807,51
15234.781,52
15234.759,53
15234.742,54
15234.723,55
15234.704,56
15234.69,57
15234.67,58
15234.66,59
15234.637,60
15234.609,61
15234.606,62
15234.604,63
15234.602,64
15234.599,65
15234.597,66
15234.595,67
15234.593,68
15234.591,69
15234.59,70
15234.588,71
15234.587,72
15234.586,73
15234.585,74
15234.584,75
15234.583,76
15234.582,77
15234.581,78
15234.581,79
15234.58,80
15234.58,81
15234.579,82
15234.579,83
15234.578,84
15234.578,85
15234.578,86
15234.577,87
15234.577,88
15234.577,89
15234.577,90
15234.577,91
15234.577,92
15234.576,93
15234.576,94
15234.576,95
15234.576,96
15234.576,97
15234.576,98
15234.576,99
15234.576,100
15234.576,101
15234.576,102
15234.576,103
15234.576,104
15234.576,105
15234.576,106
15234.576,107
15234.576,108
15234.576,109
15234.576,110
15234.576,111
15234.576,112
15234.576,113
15234.576,114
15234.576,115
15234.576,116
15234.576,117
15234.576,118
15234.576,119
15234.576,120
15234.576,121
15234.576,122
15234.575,123
15234.576,124
15234.575,125
15234.575,126
15234.575,127
15234.576,128
15234.575,129
15234.576,130
15234.575,131
15234.575,132
15234.575,133
15234.575,134
15234.575,135
15234.576,136
15234.575,137
15234.575,138
15234.575,139
15234.575,140
15234.575,141
15234.575,142
15234.575,143
15234.575,144
15234.575,145
15234.575,146
15234.575,147
15234.575,148
15234.575,149
15234.575,150
15234.575,151
15234.575,152
15234.575,153
15234.575,154
15234.575,155
15234.575,156
15234.575,157
15234.575,158
15234.575,159
15234.575,160
15234.576,161
15234.575,162
15234.575,163
15234.575,164
15234.575,165
15234.575,166
15234.575,167
15234.575,168
15234.575,169
15234.575,170
15234.575,171
15234.575,172
15234.575,173
15234.575,174
15234.575,175
15234.576,176
15234.575,177
15234.575,178
15234.575,179
15234.575,180
